Key,Strings
K195,基本参数
K196,目标周期（个 / 小时）
K197,目标周期
K198,PLC 地址配置
K199,OK 数量地址（如 D100）
K200,OK 数量 PLC 地址
K201,读取 OK 数量地址
K202,NG 数量地址（如 D102）
K203,NG 数量 PLC 地址
K204,读取 NG 数量地址
K205,状态地址（如 D104）
K206,状态 PLC 地址
K207,读取状态地址
K208,OEE 清零地址（如 D106）
K209,OEE 清零 PLC 地址
K210,班次切换或手动清零时向该地址写 1，由 PLC 程序清零本设备的 OK/NG 产量计数器。
K211,手动触发 OEE 清零
K212,清零
K213,向 PLC 写入清零指令；不可撤销且断线时不可用
K214,配方参数
K215,配方值（整数，写入 DWord）
K216,配方值
K217,配方地址（如 D500）
K218,配方 PLC 地址
K219,写入配方到 PLC
K220,写入 PLC
K221,写入配方到 PLC；请确认设备和地址后操作
K222,● 未保存
K223,搜索设备
K224,按状态筛选设备
K225,状态筛选
K226,地址冲突，点击定位
K227,无匹配的设备
K228,提示：调整搜索关键词或状态筛选条件
K229,新增设备
K230,删除选中的设备
K231,保存设备配置
K232,保存
K233,保存设备配置 (Ctrl+S)
K234,更多设备操作
K235,更多
K236,复制 / 导入 / 导出 / 恢复 / 虚拟
K237,复制选中的设备
K238,复制选中设备
K239,导入设备配置
K240,导入配置
K241,导出设备配置
K242,导出配置
K243,恢复上一版本配置
K244,恢复上一版本
K245,用上一次保存前的配置覆盖当前配置（需密码确认）
K246,生成 20 台虚拟设备用于预览（需密码确认）
K247,调整设备列表与设备详情的宽度
K248,选中后可在此处编辑设备参数、PLC 地址、报警与缺陷
K249,请选择设备或点击新增
K250,设备详情选项卡
K251,加载中
K252,历史查询
K253,快捷时间
K254,快捷时间选择
K255,自定义
K256,今天
K257,昨天
K258,近7天
K259,近30天
K260,上班次
K261,本周
K262,本月
K263,从
K264,查询起始时间
K265,至
K266,查询结束时间
K267,查询历史数据
K268,查询 (Ctrl+Enter)
K269,查询
K270,重置筛选条件
K271,清空筛选条件 (Ctrl+R)
K272,重置
K273,导出当前 Tab 数据为 CSV
K274,导出 CSV (Ctrl+E)
K275,班次筛选
K276,报警类型
K277,报警类型筛选
K278,从历史报警事件中动态生成
K279,产量查询 标签
K280,产量查询
K281,总 OK 产量
K282,总 NG 产量
K283,产量日志表
K284,NG 产量(件)
K285,未查询到符合条件的产量数据
K286,提示：尝试切换设备、放宽时间范围，或检查 PLC 采集是否正常
K287,状态时长 标签
K288,状态时长
K289,待机时长
K290,时长柱状图
K291,状态切换时间线
K292,状态转换记录表
K293,之前状态
K294,之后状态
K295,未查询到符合条件的状态转换记录
K296,提示：状态时长需选择具体设备，请检查设备筛选
K297,报警记录 标签
K298,报警记录
K299,触发次数
K300,恢复次数
K301,待恢复
K302,报警事件表
K303,事件类型
K304,未查询到符合条件的报警记录
K305,提示：尝试切换设备或放宽时间范围
K306,OEE 分析 标签
K307,OEE 分析
K308,OEE 综合
K309,OEE 指标
K310,趋势变化
K311,OK 产量
K312,NG 产量
K313,OEE 班次明细表
K314,班次开始
K315,选择设备和时间范围后点击「查询」，即可计算该时段的 OEE 指标。
K316,OEE = 良品率 × 性能达标率 × 时间稼动率
K317,缺陷帕累托（TOP5）
K318,暂无状态数据
K319,OEE 综合效率
K320,暂无 OEE 数据
K321,A时间稼动率
K322,B性能达标率
K323,当前生产状态
K324,当前速度
K325,件/h
K326,工单目标
K327,工单完成
K328,C良品率概览
K329,实时故障
K330,静音或恢复新报警闪烁
K331,静音/恢复新报警闪烁
K332,级别
K333,实时故障列表
K334,暂无活跃故障
K335,生产仪表板
K336,PLC 未连接
K337,PLC 已连接
K338,打开工单管理页
K339,查看详情
K340,查看当前选中设备的详情
K341,PLC 未连接，实时数据可能已过期
K342,生产复盘
K343,复盘设备选择
K344,选择要复盘的单台设备
K345,时间范围选择
K346,刷新复盘数据
K347,手动刷新 (F5)
K348,导出生产复盘报表
K349,导出报表
K350,导出当前时间范围的生产复盘报表
K351,导出生产复盘 PDF
K352,导出 PDF
K353,导出当前时间范围的生产复盘 PDF
K354,设备健康评分
K355,产品 / 批次
K356,当前配方
K357,配方值来自当前设备配置
K358,时间线选择
K359,复盘结论
K360,根据当前生产、设备与质量数据生成分析结论
K361,次
K362,峰值时段
K363,谷值时段
K364,周期对比
K365,当前设备与上一周期的变化
K366,当前总产量
K367,当前良品率
K368,当前 OEE
K369,产量趋势
K370,按时间范围查看产量变化
K371,Top 5 报警
K372,当前时间范围内的主要报警
K373,高频重复
K374,暂无报警记录
K375,设备状态时间线
K376,运行、暂停、报警与未知区间；点击格子查看该段产量与报警
K377,运行无产量
K378,当前设备明细
K379,所选设备的产量、运行时长与 OEE
K380,产量
K381,主要报警
K382,各班次产量与良品率差异
K383,产量构成
K384,报警密度
K385,目标达成
K386,暂无班次数据
K387,请在设置页配置班次
K388,OEE 损失拆解
K389,从性能、可用率和质量三个维度定位损失来源
K390,当前设备缺陷帕累托
K391,识别所选设备当前累计的主要质量问题
K392,暂无当前累计缺陷
K393,缺陷计数来自设备当前累计快照，不代表所选时间范围
K394,缺陷集中班次 / 时段
K395,停机分析
K396,基于当前设备状态和报警历史计算
K397,总停机时长
K398,平均报警时长
K399,时段产量热力图
K400,查看不同设备在各时段的产量分布
K401,暂无热力图数据
K402,设备未运行或未采集到产量
K403,设备名
K404,不良(件)
K405,产线总览
K406,按设备名搜索
K407,按设备名搜索 (Ctrl+F)
K408,排序
K409,报警优先
K410,默认
K411,产量↓
K412,报警中
K413,整体良品率
K414,加权 OEE
K415,当前班次：
K416,暂无设备
K417,请在设备管理中添加设备
K418,运行正常
K419,通信中断
K420,运行状态监控
K421,PLC 通信、采集循环与设备读取健康度
K422,刷新运行指标（F5）
K423,采集异常
K424,连续失败
K425,系统健康
K426,最近采集周期
K427,采集循环
K428,完成轮询
K429,平均周期
K430,最大周期
K431,配置轮询间隔
K432,历史写入频率
K433,实际采集周期包含 PLC 读取耗时和轮询等待时间。若最大周期持续高于配置间隔，建议检查 PLC 响应、网络或地址数量。
K434,设备读取
K435,配置设备数
K436,最近成功读取
K437,最近成功时间
K438,累计失败轮询
K439,最近成功读取表示上一轮至少成功读取到的设备数量；0 台时会触发断线判定或表示当前没有可读地址。
K440,PLC 通信详情
K441,连接端点
K442,断线持续
K443,连续失败重试
K444,采集质量与读取性能
K445,轮询成功率
K446,读取点数 / 配置
K447,最近成功设备
K448,最大采集周期
K449,采集成功率
K450,历史写入健康度
K451,待写入快照
K452,恢复文件
K453,最近成功写入历史
K454,写入失败次数
K455,数据库存储
K456,系统资源与数据一致性
K457,CPU / 内存
K458,程序运行时长
K459,GPU 使用率
K460,配置检查
K461,进程资源
K462,内存 / 磁盘
K463,磁盘剩余
K464,GPU 引擎负载
K465,阶段耗时
K466,批次计划
K467,设备级采集状态
K468,本轮采集
K469,读取配置
K470,轮询周期趋势
K471,最近 60 次刷新 · 单位 ms
K472,授权管理
K473,查看当前设备授权状态，必要时重新激活或备份授权信息。
K474,机器码：
K475,授权类型：
K476,激活时间：
K477,到期时间：
K478,激活码：
K479,复制激活码
K480,数据源与运行模式
K481,选择数据来源（本地采集 / 远程采集服务）与程序运行模式。
K482,数据采集模式
K483,远程模式连接 Kanban.Collector 采集服务，支持多屏共享同一数据源。
K484,本地采集（单机模式）
K485,本地采集模式
K486,远程采集（连接采集服务）
K487,远程采集模式
K488,Kanban.Collector 的 SignalR 地址，如 http://192.168.1.10:5129/hubs/kanban
K489,测试采集服务连接
K490,测试采集服务 SignalR 连接是否可达
K491,运行模式
K492,展示模式仅保留大屏页面并限制退出，适合车间屏端（保存后重启生效）。
K493,完整模式（展示 + 管理）
K494,完整模式
K495,展示模式（仅大屏页面）
K496,展示模式
K497,PLC 连接配置
K498,配置通信地址、采集频率和显示密度。
K499,连接与协议
K500,选择 PLC 品牌并配置通信参数。
K501,IP 地址
K502,PLC IP 地址
K503,PLC 端口
K504,连接超时（毫秒）
K505,PLC 连接超时（毫秒）
K506,连接超时
K507,Modbus 地址从 0 开始
K508,Modbus 寄存器功能码（3/4）
K509,Modbus 位功能码（1/2）
K510,采集策略
K511,调整批量读取、轮询和历史写入节奏。
K512,PLC 批量读取数量
K513,允许批次跨过的未配置逻辑地址数量，0 表示仅合并严格连续地址。
K514,批量读取地址空洞
K515,使用当前 IP 和端口测试 PLC 连接（不会影响正在运行的数据采集）
K516,轮询间隔（毫秒）
K517,PLC 数据采集轮询间隔（毫秒）
K518,轮询间隔
K519,历史写入间隔（扫描次数）
K520,历史数据写入间隔（扫描次数）
K521,历史写入间隔
K522,主页刷新间隔（毫秒）
K523,主页仪表板刷新间隔（毫秒）
K524,主页刷新间隔
K525,看板窗口/页面标题。屏端（Web 大屏）自动从采集服务拉取，无需逐屏配置
K526,界面语言
K529,界面字号（大屏远距可读性）
K530,界面字号缩放
K531,标准 100%
K532,大屏 115%
K533,超大屏 130%
K534,新报警触发时播放本机系统提示音；关闭后仍保留视觉提醒和历史记录
K535,启用自动日报
K536,自动生成单设备日报 PDF
K537,按设定时刻为每台有数据的设备生成上一自然日 PDF，文件保存在 Reports 目录
K538,到达该时刻后生成上一自然日单设备日报
K539,班次配置
K540,管理生产班次和时间范围。
K541,班次保存后立即生效，采集将在下一个轮询周期使用；当前班次可能被重新判定。
K542,删除此班次
K543,班次开始时间
K544,结束
K545,班次结束时间
K546,暂无班次
K547,点击右上角「新增班次」开始配置
K548,取消修改
K549,恢复默认
K550,保存设置
K551,保存设置 (Ctrl+S)
K552,工单编辑
K553,计划产量（件）
K554,工单列表
K555,搜索工单号/产品/设备
K556,计划时间从
K557,计划时间至
K558,工单排程排序
K559,按计划时间或状态排序
K560,仅超期
K561,仅达标
K562,有 NG
K563,工单号 / 产品
K564,已生产
K565,点击下方「新增」或调整筛选条件
K566,未找到匹配的工单
K567,复制当前工单并创建新的待开始工单
K568,刷新产量
K569,查询所有工单的产量数据并更新列表进度
K570,导出当前筛选结果到 CSV 文件
K571,生成样本
K572,生成样本工单用于预览（需密码确认）
K573,调整工单列表与工单详情的宽度
K574,支持搜索工单号、产品名称或设备名快速定位
K575,不良产量
K576,达成率
K577,折叠展开侧边栏
K578,折叠/展开侧边栏
K579,看板系统
K580,累计断线次数
K581,授权状态
K582,主导航
M001,安全验证
M002,未找到 Microsoft YaHei 中文字体，无法生成 PDF
M003,所选文件中没有设备数据
M004,未找到上一版本备份文件
M005,备份文件为空或无效
M006,已删除工单
M007,报警信息已复制
M008,已删除设备
M009,保存成功
M010,密码错误，已取消恢复操作
M011,当前 Tab 无数据可导出
M012,● 达标
M013,通信中断
M014,采集已停止
M015,试用授权
M016,激活成功
M017,机器码已复制到剪贴板
M018,复制失败，请手动记录机器码
M019,当前未激活，无激活码可复制
M020,激活码已复制到剪贴板
M021,复制失败，请手动记录激活码
M022,至少保留一个班次
M023,设置已保存
M024,采集服务参数已同步（轮询/班次/PLC 连接已对采集进程生效）
M025,已取消未保存修改
M026,确定恢复设置默认值吗？当前未保存修改将被覆盖。
M027,已恢复默认值，请点击保存设置后生效
M028,看板标题不能为空
M029,IP 地址不能为空
M030,PLC 数据格式无效
M031,已中止
M032,已达标待完成
M033,已超期未完成
M034,当前筛选结果为空，无可导出的工单
M035,请先在设备管理页添加设备
M036,提示
M037,错误
M038,确认
M039,警告
M040,全部
M041,待开始
M042,进行中
M043,已完成
M044,全部设备
M045,状态
M046,C良品率
M047,B性能达标率
M048,A时间稼动率
F001,"CSV 共 {0} 行，{1} 行校验失败将跳过。
"
F002,DWord {0} ms · M位 {1} ms · 缺陷 {2} ms · 计数报警 {3} ms · 历史 {4} ms
F003,Modbus UnitId 必须在 1-247 之间，当前值: {0}
F004,Modbus 位功能码必须为 1 或 2，当前值: {0}
F005,Modbus 寄存器功能码必须为 3 或 4，当前值: {0}
F006,OEE 为 {0:P1}，{1} {2:P0} 目标
F007,OEE 历史查询失败：{0}
F008,OEE 清零地址格式无效（需要 D 字地址）: {0}
F009,PDF 导出失败：{0}
F010,PLC 已断开 · {0}
F011,PLC 已断开（IP:{0}）· 第 {1} 次重试
F012,PLC 已重连，断线时长 {0}
F013,PLC 批量读取地址空洞必须在 0-16 之间，当前值: {0}
F014,PLC 批量读取数量必须在 1-1024 之间，当前值: {0}
F015,PLC 正在连接 · {0}
F016,PLC 超时必须在 100-60000 毫秒之间，当前值: {0}
F017,Siemens Rack 必须在 0-7 之间，当前值: {0}
F018,Siemens Slot 必须在 0-31 之间，当前值: {0}
F019,Siemens 批量 Int32 上限必须在 1-55 之间，当前值: {0}
F020,"
  ...（共 {0} 条）"
F021,{0}：产量 {1} 件 · 良品率 {2} · OEE {3}
F022,{0} 个地址
F023,{0} 台 · 运行 {1} · 报警 {2} · 待机 {3} · 初始 {4}
F024,{0} / {1} 个地址
F025,{0}不能为空
F026,{0}必须在 {1}-{2} 之间
F027,{0}必须是整数
F028,{0:N0} 件
F029,{0:N0} / {1:N0} 件
F030,{0:N0} 件
F031,{0} 当前值: {1}
F032,"{0} · {1}
级别：{2}
触发时间：{3:yyyy-MM-dd HH:mm:ss}
持续时间：{4}"
F033,{0}（{1}次）
F034,{0}（{1}，自 {2:MM-dd HH:mm}）
F035,{0} {1:F0} 分钟（{2:HH:mm}–{3:HH:mm}）
F036,{0} 件 / {1} 件
F037,{0}+{1} / {2:F0} 件
F038,{0} · 目标 {1:N0} 件
F039,{0} 副本
F040,{0}（{1}次，{2:P0}）
F041,{0}产量最高，共 {1:N0} 件，良品率 {2:P1}
F042,· 到期 {0:yyyy-MM-dd}
F043,↓突降 {0:HH:mm}
F044,⏳ 待恢复时长 Top：{0}
F045,⏸ 待机占比 {0:P0}，高于阈值 {1:P0}
F046,▲ 快 {0:F2}s
F047,▼ 慢 {0:F2}s
F048,⚠ {0:HH:mm} 产量突降 {1:P0}（{2} 件 → {3} 件）
F049,⚠ 报警占比 {0:P0}，高于阈值 {1:P0}
F050,⚠ 检测到 {0} 次突降，最严重 @ {1:HH:mm} 降 {2:P0}（{3} 件 → {4} 件）
F051,⚠ 瓶颈因子：{0} 仅 {1:P1}，是 OEE 的主要拖累项
F052,⚡ 连锁触发：{0}（在 5 分钟窗口内出现 {1} 次）
F053,✓ 三项指标均衡（{0:P0} / {1:P0} / {2:P0}），OEE = {3:P1}
F054,一般{0}
F055,上一班次（{0}）
F056,不支持的 PLC 品牌: {0}
F057,不支持的 Siemens 型号: {0}
F058,严重{0}
F059,主要缺陷为 {0}（{1}），当前累计 {2:N0} 件，占当前缺陷 Top10 的 {3:F1}%
F060,产量 {0} · 良品率 {1} · OEE {2}
F061,产量 {0:N0} · 报警 {1} 次
F062,产量 {0:N0} · 良品率 {1:P1} · OEE {2:P1}
F063,产量历史查询失败：{0}
F064,产量平稳波动，均值 OK ≈ {0:F0} 件，峰值 {1} 件 @ {2:HH:mm}
F065,低于最佳班次 {0:P0}{1}
F066,保存失败: {0}
F067,保存失败：发现 {0} 处配置问题，请在设备参数表单中修正
F068,停止采集服务失败：{0}
F069,共 {0:N0} 条 · 第 {1}/{2} 页
F070,写入失败: {0}
F071,写入异常: {0}
F072,写入成功 ({0:HH:mm:ss})
F073,刷新报警统计失败: {0}
F074,剩余 {0:F1} GB
F075,历史写入间隔不能小于 1，当前值: {0}
F076,历史数据写入失败：{0}
F077,历史查询失败：{0}
F078,发现 {0} 项问题
F079,可用率 {0:P1}，损失 {1:P1}
F080,地址冲突「{0}」被 {1} 台设备共用：
F081,地址冲突：{0}
F082,地址格式无效（需要 D 字地址）: {0}
F083,地址格式无效（需要 D 字地址）: {0}
F084,备份文件读取或解析失败: {0}
F085,复盘数据加载失败: {0}
F086,"失败明细：
  · {0}"
F087,失败：{0}
F088,存在 · {0}
F089,导入将用文件中的 {0} 台设备替换当前 {1} 台设备配置，且不会自动保存到磁盘。是否继续？
F090,导出失败: {0}
F091,"将导入 {0} 条报警到当前设备（现有 {1} 条）。
"
F092,"将用 20 台虚拟设备替换当前 {0} 台设备配置，当前未保存的改动会丢失。是否继续？
（替换后请点击保存以持久化）"
F093,工单 {0} 产量已达标（{1:N0} / {2:N0} 件）
F094,工单 {0} 已中止
F095,工单 {0} 已完成
F096,工单 {0} 已开始
F097,工单号「{0}」已存在（工单 Id={1}），请使用唯一工单号
F098,已刷新 {0} 条工单的产量数据
F099,已复制工单 {0}
F100,已复制设备「{0}」为「{1}」
F101,已导入 {0} 台设备，请点击保存以持久化
F102,"已导入 {0} 条报警（{1} 行跳过）。
"
F103,已导入 {0} 条报警，请点击保存以持久化
F104,已导出 {0} 条 → {1}
F105,已导出 {0} 台设备到 {1}
F106,已导出 {0} 条工单 → {1}
F107,已导出 {0} 条报警 → {1}
F108,已恢复上一版本（{0} 台设备），请点击保存以持久化
F109,已新增工单 {0}
F110,已更新工单 {0}
F111,已清空「{0}」当前值
F112,已激活 · {0:yyyy-MM-dd}
F113,已激活 · 到期 {0:yyyy-MM-dd}
F114,已生成 {0} 台虚拟设备，请点击保存以持久化
F115,已生成 {0} 条样本工单
F116,已触发「{0}」OEE 清零
F117,已运行 {0}  ·  剩余 {1}
F118,库 {0} · WAL {1}
F119,应用设置保存失败：{0}
F120,当前 {0} / 阈值 {1}
F121,当前已有 {0} 条工单，将追加生成 {1} 条样本工单。是否继续？
F122,当前班次：{0}
F123,当前范围共触发 {0:N0} 次报警，请结合 Top 5 报警确认主要停机来源
F124,性能率 {0:P1}，损失 {1:P1}
F125,成功：{0}
F126,报表导出失败：{0}
F127,报警{0}
F128,报警「{0}」地址
F129,报警历史查询失败：{0}
F130,报警突增：当前 {0} 次，上一周期 {1} 次
F131,数据已停滞 {0}s，PLC 采集可能卡死
F132,数据已停滞 {0}s，采集服务可能卡死
F133,"数据库/采集初始化失败，部分功能可能不可用：

{0}"
F134,文件读取或解析失败: {0}
F135,新设备{0}
F136,无效的 IP 地址: {0}
F137,无法识别的 {0} 地址: {1}
F138,最长停机为 {0:F1} 小时，设备：{1}，报警：{2}
F139,最长待机 {0:F0} 分钟（{1:HH:mm}–{2:HH:mm}）
F140,最长运行 {0:F0} 分钟（{1:HH:mm}–{2:HH:mm}）
F141,"有效 {0} 条报警将导入到当前设备（现有 {1} 条）。
"
F142,期望 {0} 类型地址，当前为 {1}
F143,"未导入任何报警：
  · {0}"
F144,未知查询 Tab：{0}
F145,机器码：{0}
F146,"机器码：{0}
授权与当前机器不匹配"
F147,"机器码：{0}
授权已过期，请重新激活"
F148,"机器码：{0}
检测到系统时间异常"
F149,"机器码：{0}
永久授权"
F150,"机器码：{0}
激活码：{1}
到期：{2:yyyy-MM-dd}"
F151,"机器码：{0}
试用期剩余 {1} 天"
F152,"机器码：{0}
试用期已过期，请激活"
F153,查询产量数据失败: {0}
F154,查询失败: {0}
F155,查询报警事件失败: {0}
F156,欧姆龙 FINS 读取切割长度必须在 1-999 之间，当前值: {0}
F157,正在连接 {0}:{1} …
F158,正在连接 {0} …
F159,正在连接采集服务 · {0}
F160,清空失败: {0}
F161,清空异常: {0}
F162,清零异常: {0}
F163,激活成功{0}。
F164,状态 {0}
F165,状态历史查询失败：{0}
F166,班次{0}
F167,生产复盘 PDF 已导出：{0}
F168,生产复盘报表已导出：{0}
F169,目标 {0:F0} 件/桶
F170,目标 {0:P0}
F171,目标 {0:P2}
F172,目标 {0} 件/h
F173,确定中止工单「{0}」吗？中止后不可恢复为 Running。
F174,确定删除工单「{0}」（{1}）吗？此操作不可恢复。
F175,确定删除设备「{0}」吗？关联的报警、缺陷和计数报警将一并移除。此操作不可撤销。
F176,"确定手动清零「{0}」的 OEE 吗？
将清零该设备的 OK/NG 产量、运行/报警/待机累计时间及报警状态，且无法撤销。"
F177,"确定清空计数报警「{0}」的当前值吗？
将向 PLC 写入复位指令并清零软件侧当前值，操作不可撤销。"
F178,"程序启动失败，即将退出：

{0}"
F179,端口号必须在 1-65535 之间，当前: {0}
F180,端口号必须在 1-65535 之间，当前值: {0}
F181,第 {0} 行：PLC 地址 '{1}' 应为 M 位类型，当前为 {2}
F182,第 {0} 行：PLC 地址 '{1}' 无效 - {2}
F183,第 {0} 行：PLC 地址为空
F184,第 {0} 行：报警名称为空
F185,第 {0} 行：报警级别 '{1}' 无效（应为 Low/Medium/High）
F186,线程 {0} · 句柄 {1:N0}
F187,统计范围：{0:yyyy-MM-dd HH:mm:ss} ~ {1:yyyy-MM-dd HH:mm:ss}
F188,缺陷{0}
F189,缺陷「{0}」地址
F190,缺陷率突增：当前 {0} 个，上一周期 {1} 个
F191,自动日报服务停止失败：{0}
F192,良品率 {0:P1} / 目标 {1:P0} · OEE {2:P1} / 目标 {3:P0}
F193,良品率 {0:P1}，损失 {1:P1}
F194,良品率为 {0:P1}，{1} {2:P0} 目标
F195,节拍异常：实际 {0:F1} 件/小时，低于目标 {1:F0} 件/小时的 80%
F196,触发于 {0:HH:mm:ss} · {1}
F197,警告：{0}
F198,计数报警{0}
F199,计数报警「{0}」地址
F200,设备「{0}」的计划时间与工单 {1} 重叠（{2:MM-dd HH:mm} ~ {3:MM-dd HH:mm}）
F201,设备「{0}」{1}无效：{2}
F202,设备「{0}」报警名重复：「{1}」
F203,设备「{0}」未配置：{1}
F204,设备「{0}」目标周期必须 > 0（当前 {1}）
F205,设备「{0}」缺陷名重复：「{1}」
F206,设备「{0}」计数报警「{1}」阈值上限必须 > 0（当前 {2}）
F207,设备「{0}」重复报警 PLC 地址：「{1}」，同一设备内报警地址必须唯一
F208,设备「{0}」已有进行中工单 {1}，请先完成或中止
F209,设备名重复：「{0}」（{1} 台），设备名必须唯一
F210,设备数据保存失败：{0}
F211,试用 · 剩 {0} 天
F212,试用期内 · 剩 {0} 天
F213,试用期内，剩余 {0} 天。输入激活码以完成授权。
F214,试用期内，剩余 {0} 天。请在设置页输入激活码完成授权。
F215,试用期已过期（{0} 天），请输入激活码继续使用。
F216,读取失败: {0}
F217,读取异常: {0}
F218,轮询间隔不能小于 50ms，当前值: {0}
F219,轻微{0}
F220,运行无产量：{0:HH:mm:ss}-{1:HH:mm:ss} 持续 {2:F0} min
F221,进程 {0:F0} MB · 可用 {1:F0} MB
F222,连接失败：{0}
F223,连接失败：{0}
F224,连接异常：{0}
F225,连接成功（{0}:{1}）
F226,连接超时（5 秒无响应），请检查 IP 和端口
F227,连续失败 {0} 次
F228,"选择导入方式：
  · 是 = 替换（清空现有后导入）
  · 否 = 追加（保留现有，同地址覆盖）
  · 取消 = 放弃导入"
F229,配方值 {0} 超出合理范围（0-999999）
F230,配方地址格式无效: {0}
F231,采集服务参数同步失败（本地已保存）：{0}
F232,采集服务已断开 · {0}
F233,采集服务已断开（{0}）· 第 {1} 次重试
F234,采集服务已重连，断线时长 {0}
F235,释放 Collector 连接失败：{0}
F236,重建 {0} 次 · 最近 {1} ms
F237,错误：{0}
